,tweet,attitude
21,Celebrating being fully #vaccinated ‼️🤩💉 https://t.co/maBnmmmGr4,1
22,We are one step closer to in person gaming! #vaccinated https://t.co/RYv8GaCm5i,1
23,Which arm makes me look more like I love science? 💉🔬🧪👩‍🔬👨‍🔬 👨‍🔬 #vaccinated✌️ #JohnsonandJohnson #OneAndDone https://t.co/8DHZAkLvH8,1
24,For those experiencing #vaccinehesitancy there truly is no reason. Let’s not prolong this pandemic. I understand it… https://t.co/YzFhvzQp1x,1
25,Figured it’s a good time to tweet my first selfie #vaccinated #VaccinateNY https://t.co/PW8npRDKv6,1
26,How do @CooperstownNY and Cooperstown Dreams Park expect 12 years old kids to get #vaccinated for the summer tourna… https://t.co/hXR5FZnJ9r,1
27,J&amp;J. One and done. #vaccinated https://t.co/vvZR6T4DHQ,1
28,@DrBonnieHenry  thanks for all you're doing to keep us safe!!! #vaccinated #COVID19BC #shotinthearm #protected https://t.co/psUvCdopyz,1
29,One and done. #JohnsonJohnson #vaccinated https://t.co/ii6rneArvh,1
30,Oh well 🤷🏼‍♂️ #vaccinated,1
31,Got my first Pfizer dose today! #vaccinated,1
32,Second vaccine shot today and feeling incredibly grateful! #PfizerVaccine #vaccinated https://t.co/psMH8Ibhuh,1
33,Getting #vaccinated means my husband was able to visit his 95 year old Nana in-person for the first time in many mo… https://t.co/jtpBJPzbRD,1
34,"Well, my first Pfizer product was not the little blue pill. #vaccinated",1
35,One shot down!  #vaccinated,1
36,Americans are being warned not to travel to Canada even if they’re vaccinated! https://t.co/YlP0yDsOJf… https://t.co/tzddqk5MOt,1
37,One and done #vaccinated #JohnsonandJohnson celebration brunch #realfoodismedicine https://t.co/GZn6OSPZ7X,1
38,"Yay! I just got my 2nd Moderna dose!!!! 🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽
#FauciOuchie 
#vaccinated 
#modernavaccine",1
39,Got my first dose! Halfway vaccinated. #vaccinated #PfizerVaccine #vaccine #stayhealthy #StaySafe #Covid_19… https://t.co/1x7L5EtJuL,1
40,The second dose of Moderna is no joke. #Moderna #modernavaccine #vaccinated https://t.co/0cjytsQUWo,1
41,"Anyone who gets a fake vaccine should be forced to get the real vaccine and then thrown in jail.

Btw, multiple peo… https://t.co/DsS9FeUmW9",1
42,"🔥 Just went to the park with our kiddo. 40% mask wearing— at best.

Please folks: #WearAMask  *even if you are*… https://t.co/1xqjBDoWPU",1
43,Thank you @JoeBiden for my first #FauciOuchie! #vaccinated #vaccination #Patriotism 🇺🇸🇺🇸🇺🇸Thank you @karaharris75 f… https://t.co/dSFfUA9hu4,1
44,2nd dose today 🙏 #vaccinated,1
45,PSA 4 200 mg ibuprofen tablets (800 mg) are prescription strength if the otc dose isn’t cutting it&amp; you’re having a… https://t.co/u78LzOpa1Y,1
46,So incredibly relieved!! #oneanddone #bitemeCOVID #JohnsonandJohnson #GetVaccinated #doingmypart #vaccinated https://t.co/8PjlzqXVAx,1
47,Just got vaccinated today.  I feel a deep appreciation for  all the people that made this possible and made it such… https://t.co/epe0WUp0Me,1
48,Drove a little over an hour to get my mom and Karen vaccinated! But I’m so glad they’re finally DONE. They were the… https://t.co/h5GUE3b5I0,1
49,"My 1st Vaccination: ✅

#vaccinated",1
50,Day two after my second #Pfizer shot. I am miserable but not as bad as yesterday. Should be able to go back to work tomorrow. #vaccinated,1
51,"I got the Johnson &amp; Johnson shot

ONE &amp; DONE.

#vaccinated",1
52,"Which countries admit travelers who have been #vaccinated?

The growing list: https://t.co/OmwpXhd2cq

#Covid19 https://t.co/9Xx7NYXobc",1
53,"Done. 

#vaccinated #vaccination #vaccines #VaccinesWork #VaccinesSaveLives #vaccinerollout #JohnsonandJohnson… https://t.co/GuXd4FLat7",1
54,"Breezie got vaccinated, 1of2! 4 of us down, 1 to go!

#vaccinated",1
55,feeling fab after my second jab! #vaccinated https://t.co/AWEBkz6qoI,1
56,"Thanks, but no thanks, for the fear porn propaganda.
❌#NoVaccinePassports
❌Don't #WearAMask
❌Balls to getting… https://t.co/ZxFVCy9c1X",1
57,"As colleges look toward the fall, they’re grappling with whether to require—or just strongly encourage—students to… https://t.co/ei8BVaouXc",1
58,"Taking @wmata Metro for the first time in over 14 months! Unfortunately, the metro is not clean and there is no evi… https://t.co/GIokfY4JmU",1
59,"A free pen AND a sticker!? Nice! #vaccinated One shot down, one to go. https://t.co/9smEpWMnDP",1
60,About to get dose #2 of the vaccine. Will they send me the IP address for my microchip or do I have to go to a webs… https://t.co/RQl0nUoDFa,1
61,"2nd Covid shot done.
They are jamming.
 #lowrider #vaccinated
#COVID19Vaccination #WAITING https://t.co/0ofILb6qlY",1
62,"Yes, I cried. First dose ✔️ #vaccinated https://t.co/0hsjDsGp1Z",1
63,"2nd dose.

Yes, those are tears. #vaccinated https://t.co/o1E4cOR2Lr",1
64,"Got my 2nd dose of the vaccine today! Had to do something special, so I went dressed as Sailor Marvel (inspired by… https://t.co/GMGeP05pC0",1
65,"Today, for the first time, I tried hummus on celery. It is my new favorite lunch.  On a related note, I forgot how… https://t.co/fYuu2LWRVk",1
66,Rest day but I got #vaccinated so far I feel good. https://t.co/Db4dVHdVAy,1
67,Officially #vaccinated,1
68,25% Of American Adults Are Fully #Vaccinated Against #COVID-19 https://t.co/22DX7mhncW,1
69,"One down, one to go! I can’t wait to go to a movie theater again! #vaccinated https://t.co/NYNqDoQpyV",1
70,One of my brothers who served his country for over 20 years is flying back to United States to get vaccinated becau… https://t.co/la1b7qE5DZ,1
71,i did it !!! 💉💉💉 part one at least #vaccinated https://t.co/eyqD8xj3WP,1
72,Welcome to the club of the #vaccinated !!! https://t.co/v3t8WfNspC,1
73,"First dose done. Barely felt the needle. Mind, the last time that happened, my arm felt like it had been hit by a m… https://t.co/6vnMxlM0Lg",1
74,"Got that 5G upgrade. 
#vaccinated #BillGatesBioTerrorist",1
75,We can do this together not alone and I am alive as proof after adverse reaction!!#SharedFacts #BreakingNews… https://t.co/XJqyz8koX5,1
76,Ever wonder how so many would walk so willingly to their deaths? #HolocaustRemembranceDay #NeverForget #NeverAgain… https://t.co/Wp6CiosqzB,1
77,"While #Dutch people with medical conditions are literally begging health services for a #COVID19 #vaccination, othe… https://t.co/KA6N7wx0re",1
78,"Got a Dylan Carlson Topps 2021 rookie card. Oh, and my second dose of the Pfizer vaccine. 

Happy home opener day!… https://t.co/FiFzAB58ii",1
79,Fully #vaccinated https://t.co/NKe0WIX5jW,1
80,Never been more excited for 1-3 days of potential flu-like symptoms. #vaccination #vaccinated https://t.co/pSK8v69MdY,1
81,1 shot down. 1 to go. #vaccinated,1
82,'Here’s a List of #Colleges That Will Require Students to Be #Vaccinated Against Covid-19': https://t.co/t02m4SmqId via @chronicle,1
83,Got the first jab!!! #PfizerVaccine #vaccinated https://t.co/RH36zbKlCz,1
84,Yesterday I got my first shot with Biontech (Comirnaty). 😊😇😷 #BioNTech #vaccinated #geimpft #impfung1 #Impfzentrum https://t.co/sHdDitXDCu,1
85,"When @BishopJuno had her vaccine she supported @DileuTlodi. 

Give thanks after your Covid jab by donating to chari… https://t.co/qKTfBqsz7p",1
86,@DanielNGilham Why should I do that when it's clear that to #WearAMask and to #SocialDistance and be #vaccinated is… https://t.co/f8kqv4XjEt,1
87,"Day 2 post second Moderna vaccine and my fever, body aches, headache are gone. Just some leftover fatigue/lighthead… https://t.co/1JTFyZaUnf",1
88,Got #vaccinated today ! Didn't wear my evening gown but I did wear my sparkly face mask! Thank you to the staff and… https://t.co/JeaTmovP5G,1
89,Oh I got my first vaccine so that’s dope #vaccinated,1
90,It’s the hottest accessory this spring. #vaccinated #part1 https://t.co/Pz3HPm8H84,1
91,2nd vaccine shot done!!! #vaccinated,1
92,"Seeing all the vaccination updates and selfies is making me so happy. It’s been a hard year, and while we still hav… https://t.co/opW8uT31ub",1
93,Getting vaccinated. Very well organized and a special thank you to the US Army! #vaccinated https://t.co/WUqvETy1qH,1
94,Second level of Covid-19 immunization has been complete. I have achieved vaccination status. #COVID19 #vaccination… https://t.co/jo4OGxmojz,1
95,"Closed my eyes but didn’t feel a thing! One down, One to go #vaccinated https://t.co/2Dmh5dIOj9",1
96,"A great day to get vaccinated at the Oakland Coliseum! Efficient, fast and friendly personnel. Thank you… https://t.co/2hsWsrAfLo",1
97,"One down, one to go. #vaccinated",1
98,These are my excited eyes. 💉💉✅ #vaccinated @ East Harlem Neighborhood Health Action Center https://t.co/hRSvrsooja,1
99,#Ontario announced that people over 18 in high-risk areas will be eligible to get #vaccinated. But I worry that bec… https://t.co/hN9oBB8cBK,1
100,I get to go to a Birthday party next week! With friends!! 🥳 #vaccinated,1
101,#vaccinated and it feels so good. #revelstoke https://t.co/cfUlMWdfL8,1
102,wait does that mean you’ll be #Vaccinated in #Vegas this weekend???? https://t.co/lJ9CFJckzz,1
103,"If you're #vaccinated, are you now not, by your own definition, a carrier of the virus? #Asymptomatic.

This… https://t.co/LgdXBDxvTc",1
104,Hooray for this tough old broad. #vaccinated https://t.co/n3dQjrZsXf,1
105,Ok I’m ready - at least for the next 6months 😂 #vaccinated https://t.co/NLjlXTs0ay,1
106,I’ve never been so excited for a shot. #vaccinated #CovidVaccine #thanksBiden,1
107,Got the good ouchie!!! #vaccinated https://t.co/PwQzewvG73,1
108,"@PMOIndia @narendramodi calls for #Tikautsav to get 
as many people as possible #vaccinated against #coronavirus 
A… https://t.co/aZz8nI5mD7",1
109,I'm a Pfizer gal! #vaccinated,1
110,"One thing I’ll miss about Seattle is the cherry blossom at UW. 
Oh also I’m #vaccinated https://t.co/x2jEWnu9Y0",1
111,I've got tickets to Saturday's @AviatorsLV v. @RiverCats game. Can't wait! @SorciAnthony @mickie_enkoji @calgrl70… https://t.co/BJ1XPwwyHI,1
112,2nd covid vaccine done and in the books! 💉 I'm officially fully vaccinated lol #COVID19 #CovidVaccine #Moderna #Vaccinated,1
113,"And I’m done! Yaaaaaay! (I look like I’m closing my eyes in pain, but really I’m smiling so big...) #vaccinated… https://t.co/8oQAZ3D4az",1
114,Got my second jab! 🎉 #vaccinated,1
115,Proud member of Team Pfizer (shot #1)! Thank you to my 3yo for waking us up at 5:30a the other day so I could refre… https://t.co/aol6vrXcq7,1
116,"Joined the club and got #vaccinated this morning! Nice and easy 💉 

For those fellow Contra Costa residents looking… https://t.co/jrhV8qb7VW",1
117,Oh and screw @Disneyland I’m going to @krispykreme #vaccinated #doit,1
118,"Got my second #PfizerVaccine this morning! So thankful. 
#vaccinated",1
119,Done and done ✔️✔️ #vaccinated https://t.co/XVjuU683Sj,1
120,What? 36 people outta 80m #vaccinated and that's your red flag? More women on contraceptives die of blood clots! Ge… https://t.co/bTvl3bmRjm,1
121,Great feeling isn’t it? #vaccinated https://t.co/rfF2odJ8Ri,1
122,"Me and plushie vaccine are happy to have been jabbed!
#vaccinated https://t.co/Ln4c5r29aP",1
123,Fully vaccinated! Bill Gates must be thrilled watching all the nothing I do.  #vaccinated,1
124,CUTR's Healthy Buddy Program changes its focus to help seniors get #vaccinated @erikwaxler @USFOracle Read more:… https://t.co/WSWxKg0k6L,1
125,In line to get #vaccinated,1
126,#vaccinated got the jab https://t.co/1RoM6Cgb6u,1
127,feeling very grateful at the moment - kind of a big day!  #vaccinated https://t.co/RYuSMXoG0T,1
128,People- get #vaccinated it’s #freedom thanks @BillGates and especially @ASlavitt @POTUS https://t.co/zo2RG6i2Q5,1
129,Mission accomplished! #vaccinated #vaccines #COVID19 #maskup https://t.co/DKiBVly9iw,1
130,"Vaccinated dinner get-together!! So happy to be gathering safely again!

#voiceover #voiceoveractor #vaccinated https://t.co/Mug2UzHu1v",1
131,"Got #vaccinated woot!

Looking forward to licking people in crowded places again.",1
132,"Mistress is #vaccinated #COVID19 ~ Book Now, bitches! https://t.co/CCxvE64Xo3",1
133,"The community effort to reach every resident and deliver the #COVID vaccine is critical. 

@DignityHealthAZ is at P… https://t.co/Mc2ra8u47T",1
134,Second dose complete #COVID19 #vaccinated if I’m not on here come Monday then I didn’t survive. My first dose had m… https://t.co/492GWifDSn,1
135,#AstraZeneca #lebanon #VaccinesSaveLives #vaccineswork Please listen to scientific facts before making a bad decisi… https://t.co/62zNP2C0Xh,1
136,...and...done (for now) #vaccinated https://t.co/E65ruH1rrj,1
137,#HypocriteRon ⁦@GovRonDeSantis⁩ Gets #Vaccinated Days After Blocking #COVIDPassports https://t.co/NXGV1ondkM,1
138,"48 hours after the #JNJ #jab:

feeling 'normal'
dull body aches are gone
energy and focus are back
#COVIDー19  relat… https://t.co/mEJsPm94q9",1
139,Now THATS THE WAY TO DO IT!!!! @GurdeepPandher #YukonBhangra #vaccinated 🇨🇦❤️👍🏽 https://t.co/vvrUHCTGC7,1
140,Never been so happy to have a hot flash and fever. Day 1 post 2nd Moderna shot. #vaccinated https://t.co/AhhHRuyQtt,1
141,Officially #vaccinated,1
142,Let's hope this is One Small Shot for Man &amp; One Giant Step Towards the Rock Club for Mankind. #vaccinated :dw https://t.co/3LYCsbYO7V,1
143,@Toure Me too my arm is a little sore from the shot on the second day but overall felt fine #vaccinated,1
144,Have noticed a lot of people refusing to take the vaccine out of safety concerns ...Earnest appeal to all to get va… https://t.co/0qAnOoJk75,1
145,The experimental gene therapy are safe right? Only a few deaths and injuries right? This is CDC VAERS results just… https://t.co/f9r1JUf3Ya,1
146,Yep... got my second shot today... #TakeYourSpotGetTheShot #COVID19Vaccine #Vaccinated https://t.co/YH1uMdz3gM,1
147,Vaccine #2 is in the books. Big thanks to the US #army for showing up in small town #texas . #vaccinated https://t.co/HiC4Qhyl9W,1
148,Really proud to be part of a group of #Manchester #VCSE #Leaders who are really helping the community understand wh… https://t.co/dSyGq91N3d,1
149,"@USUAggies Thank you, @USUAggies, for sustaining safety standards while we move toward #vaccinated and safe communities for all. 👍",1
150,"Amid rising infections among youth, McCoy encourages teens to get vaccinated #vaccine #vaccinated #vaccination… https://t.co/VDpp0jOP9y",1
151,"One down, one to go #vaccinated",1
152,"Dose dos has officially been jabbed into my arm. Shoutout to science, medicine, the essential workers, and the dona… https://t.co/YVkt9IEFKJ",1
153,Today is a really special day. #vaccinated https://t.co/VtW7ge8qMz,1
154,#Day1980: I finally got #vaccinated (first dose of Pfizer) yesterday and was able to get access to the ballpark aft… https://t.co/qNeByiwvFg,1
155,We all must do our part. #vaccinated https://t.co/XTRKI7IMYb,1
156,"Here’s the day after first poke Larue Report.
Took an aleve before bed for slightly sore arm. I’ve been punched har… https://t.co/JF6TNnyIyV",1
157,"Friends in North London, seems everyone I know in their 40s have been #vaccinated, hit me up with how I can too if… https://t.co/nC3EJZzVaN",1
158,"Didn’t expect to cry but I did. 
First dose closer to family and friends. 
And hugs. 
Thanks to the AMAZING staff a… https://t.co/6xcJJ8mvQm",1
159,@Venice311 I’m fine now! #Vaccinated!,1
160,Another sticker to my collection 😌  #vaccinated https://t.co/JOevrKu5Ly,1
161,Woo hoo just got my first dose of Pfizer-Biontech vaccine! #vaccinated #PfizerVaccine #Kaiser #COVIDー19 #RNA… https://t.co/r9C8KHad0R,1
162,"2nd moderna shot ☑️ me the rest of the day— Hi, I’m vaccinated! Hi, I’m vaccinated! Hi, I’m vaccinated! #vaccinated #GetTheShot",1
163,"@MalcolmNance Got both of mine, didn’t feel and no side effects either time! #vaccinated",1
164,Got jabbed. J&amp;J. Quick in and out (~45 minutes) in a nearby location. #thankyouscience #vaccinated,1
165,Ya boooooooooi got the first jab #vaccinated,1
166,"1 💉 down, 1 💉 to go! #PfizerVaccine #vaccinated #Vaccine #PfizerProud https://t.co/gHyXBKJxln",1
167,Going with the trend. #vaccinated https://t.co/38U7Lj9aj5,1
168,I saw someone with a shirt yesterday that said #vaccinated and I wonder if she wanted forehead kisses https://t.co/bS5ZLQQWyL,1
169,Just got my 2nd dose of Pfizer! Still recovering from bad pms with jook (Korean porridge) but happy to move forward… https://t.co/wXEeQ6llR3,1
170,Got my 2nd shot! #vaccinated #moderna #worthit https://t.co/j74GVV74aY,1
171,Very hopeful day today! Got my first dose of COVID-19 vaccine and a @CinnabonIndia opened up next to my house. 🥳 #StopTheSpread #vaccinated,1
172,"She died April 6, 2021 - another coincidence?

#vaccines #vaccinated #VaccineApartheid https://t.co/pU7renSyU3",1
173,"#vaccinated (1st dose for now)

Thanks to the whole scientific community to have made this possible in such a recor… https://t.co/pA86SLfEkU",1
174,"Update: arm is already starting to ache. This is going to suck. It’s worth it, but it’s going to suck. #COVID19… https://t.co/Jm2QakjaV0",1
175,SHOT GIRL SUMMER YALL!!!! #vaccinated https://t.co/4CjYkivwaZ,1
176,"At the @fema vaccination van at @cityofnewhaven. As of today, @LGSusanB says 40% of Connecticut residents are fully… https://t.co/P2Lk5HEo47",1
177,🦋 Hey all...💉 #vaccinated https://t.co/HOFFAZdRA4,1
178,"""stay vigilant and get #vaccinated"" How worried should you be about #coronavirus variants? A virologist explains hi… https://t.co/qRN0edRhym",1
179,V is for #vaccinated 🎉 https://t.co/l6PlRGySi6,1
180,Small world but so excited an old coworker #drfernandez gave my my #SecondDose I am #vaccinated so thankful! #T1D… https://t.co/fesrgGxyGr,1
181,Ripping off the band-aid was the hardest part. #vaccinated #Grateful,1
182,Got my 💉 #vaccinated 😷 https://t.co/vrFsvPVpCq,1
183,"Way to go! My 2nd is tonight.

#vaccinated https://t.co/YAJRJjCF16",1
184,Happy Vaccination Day! So happy/relieved to get this process started. #vaccinated https://t.co/GTO4tnXAaT,1
185,"Lots of Covid vaccine appointment slots available today in #Milwaukee.  Get registered and get #Vaccinated

https://t.co/ApOnjq2BKZ",1
186,"Another coincidence?

“Oldest American Man To Get COVID-19 Vaccine Has Died”

#vaccinated #vaccines #covid  https://t.co/LqAXG9dwOu",1
187,Fully vaccinated #PfizerGang #PfizerVaccine #vaccinated #COVID19 https://t.co/5kSk68Be1F,1
188,#Fed’s #Powell says ‘we’re all going to be at risk’ until the world is #vaccinated  https://t.co/A9Qe2LRLCS,1
189,Round 2 done! #vaccinated https://t.co/tQGiDCifUl,1
190,Fully vaxxed!!!! #moderna #vaccinated🙌🏾,1
191,@marykmulcaheymd @ArthrexMedEd @TheFORUM15 @DocMatzkin Awww wanted to be there so much but getting to see my parent… https://t.co/85av4kUEe5,1
192,#vaccinated! Thank@you @mariahmacgregor for setting this up❣️🔆❣️🔆The only thing that would have been better is if y… https://t.co/IJxJ2QpE9R,1
193,Dose 2 ✅ 💪🏼 💉 #vaccinated #VaccinateNY,1
194,Ready for some full body hugs! #vaccinated https://t.co/4JuRN05nMD,1
195,"“I chose the vaccine to protect myself. I’m joining
 @UNICEF in calling for equitable access to #covid19 vaccines i… https://t.co/IkohzlxkNY",1
196,It’s going to be an adjustment talking to people again once we all have our vaccines. I guess we’re all a little ru… https://t.co/GQN45T6qxD,1
197,"Didn’t throw away my (2nd) shot. 
Fully vaccinated from the ‘Rona. 
#vaccinated https://t.co/Qq2s7KlaLG",1
198,"In case you haven’t had it done yet, it doesn’t hurt. Don’t feel any symptoms, I don’t know if I will. Just glad I’… https://t.co/xzN40CGz4Y",1
199,"One and done!
#vaccinated https://t.co/4hStBBr9uv",1
200,Got my J&amp;J today!! #Covid #FauciOuchie #Vaccinated,1
201,"1 million Nevadans have been Vaccinated! 😷💙
 
Starting April 19th all US adults will eligible to get Vaccinated.… https://t.co/nCaRCeK82L",1
202,Proud and thankful to have received the COVID vaccine!! 💉🦠😷 #vaccinated #COVID19Ontario https://t.co/2FBTrUGwTs,1
203,I got my 2nd vaccine shot today. #vaccines #vaccinated #Pfizer #COVID19Vaccine #Ohio https://t.co/5oBkjce3S6,1
204,I've always wanted to live in a post-apocalyptic world. #DreamFulfilled #vaccinated https://t.co/IsGVO7q5IJ,1
205,They are now doing Walk-ups for the Pfizer shot in my area of Hampton Roads at the old Macy’s at Military Circle Ma… https://t.co/m9uoGdV2xZ,1
206,@TMapou @maggie162 What friends are for 👌 #LGM #vaccinated,1
207,44 hours: Had a long sleep yesternight! I feel better!  #vaccination #vaccinated,1
208,"All New Yorkers 16+ can now get their shot! #NYCVaccineForAll #vaccinated #igottheshot

Make an appointment and pro… https://t.co/IWYnCXj55L",1
209,"Relieeeeeeeeeeeeef

Everyone over 16 in Nevada is eligible now so get #Vaccinated

https://t.co/feQQaLK9Y4 https://t.co/obGYegy1M1",1
210,Fully vaccinated!!! #vaccinated #doyourpart https://t.co/Dbvu4einxB,1
211,I just got microchipped by one of Bill Gates “deep state” actors. Could have swore I saw George Soros on the corner… https://t.co/4lOBD7Yr96,1
212,"#vaccinated 🥳😁☺️😷
So thankful. @ McClellan Air Force Base https://t.co/vjC2yu32LJ",1
213,Got my first dose of the Fauci Ouchie today. Such a sense of relief. 💪😀 #vaccinated #CovidVaccine,1
214,Now that I have my covid shot and it has altered my DNA and I also have the mark of the beast. Do I get special Sat… https://t.co/c1Tz2CRWWF,1
215,Just got my second shot. #vaccinated https://t.co/aZCdjeGqq0,1
216,After a rough night after my 2nd Moderna I am so much better today. My arm is hardly even sore any longer! I expect… https://t.co/E6nPpsGM23,1
217,@thesuniljain @narendramodi @drharshvardhan @SerumInstIndia @BharatBiotech We need to strictly follow “Covid Approp… https://t.co/HGjboHwWzd,1
218,Just in: 2nd COVID shot is done! Feeling good! We’ll see how I feel tomorrow? #vaccinated https://t.co/QIo4Rl7KFN,1
219,"#vaccinated

If I can overcome my hatred of needles, fight the urge to puke, to get my vaccine with tears in my eye… https://t.co/6iyToW3rMl",1
220,@dswersky and I just got our 1st dose of the Pfizer vaccine!!!!🎉🎊🎉🎉🎊😃 We are SO HAPPY AND GRATEFUL!! #vaccine… https://t.co/C7zDwesGLY,1
221,We in there! #vaccinated https://t.co/ZrVDkSTf6L,1
222,Our Centre Director Amrick Singh @ASUbhi gets the vaccine from Aghia Pal Singh MBE a member of @WestMidsFire and vo… https://t.co/RrNFE4k0kz,1
223,Hey Sam Adams Hola at your girl. She got vaccinated and she would enjoy a pint to celebrate! #samueladamsbeer… https://t.co/hljKhtJq0c,1
224,Vaccine number 2 @ The Ohio State University. #vaccinated https://t.co/ECdXQtNynx,1
225,"We get our second vaccine next week and I'm NOT looking forward to it as it hit me so freaking hard.

That being sa… https://t.co/Oyep4JXbhq",1
226,"I got fully vaccinated today, but I’m not going to post about it. #vaccinated",1
227,"Over 50% of Ceredigion adults have been vaccinated

#Ceredigion #Vaccinated #Wales https://t.co/adFBVYM7X8",1
228,"If you know someone who keeps screaming about their #rights when it comes to #pandemic #protocols, etc...just show… https://t.co/N9ZOJnP9Js",1
229,"I'm standing in line for my 2nd vaccine. The line is long, and we're outside, but it is a beautiful day, so it's ni… https://t.co/7ZpG2d2FbV",1
230,the healthy stab part 1 has been done #vaccinated https://t.co/mXLZqHNO43,1
231,You can call me single shot shawty #vaccinated https://t.co/xaW9BdCQIo,1
232,"The arm ache is a bitch, but dose 2 completed. #vaccinated",1
233,2nd dose DONE 🤗🤩🙏✌💜 #grateful #vaccinated #PfizerVaccine #FauciOuchie https://t.co/IFSGjuNaLV,1
234,Grateful that @USIedu gave us students the opportunity to be vaccinated here on campus! #vaccinated https://t.co/WPMDucqzrh,1
235,"I am thankful for this shot! Vegas here I come! 
#vaccinated 
#fullyvacinnated @ Washington D.C. https://t.co/EjSMwnvG30",1
236,"Seriously, folks, get your shot when you can. #vaccination #vaccinated https://t.co/GwKYxLErf2",1
237,"Second shot received. 
Once again very impressed with how well organized it is. 
#vaccinated",1
238,Second dose done! I love science and I’m so grateful to all the nurses and volunteers @MosconeCenter!! #vaccinated https://t.co/bnTZIiIZJt,1
239,My folks had their 2nd Jab today.x #vaccinated #feelingthankful #thankyouNHS 💛💛 https://t.co/ssDRIbyBeW,1
240,The hubs &amp; I got our second dose 🙌 #vaccinated #finishstrong417 https://t.co/N2TEN7tWie,1
241,I am #vaccinated   Take that COVID-19,1
242,"#Jab we Met 
Met for Lifetime 👍
At  @Jaslok_Hospital 

#Covisheild made by  @SerumInstIndia (SII)
Mr… https://t.co/qzlCLAajDl",1
243,Microdosing covid for the greater good 😌 #vaccinated,1
244,In the waiting room right before I get my 2nd Moderna shot. I have my vax superhero suit in the car to change into… https://t.co/nXvuEcCbG4,1
245,"So excited I wrote 2th dose. Lol
#vaccinated https://t.co/eTIg429Tt4",1
246,"Covid shot #1 done!

And, wow, it was SO EASY! Those silly republicans had me worried I'd feel the microchips going… https://t.co/gzKH42Py3y",1
247,Being #vaccinated #AstraZenaca https://t.co/h3ScwAFWqu,1
248,Shot 2 has been completed. #vaccinated I can now send this from my mind. dam that micro chip optimized quickly. https://t.co/3gMMM2239g,1
249,At da vaccernation place. Both my moms have now had dere 1st vaccernation for da covid thing (I’m just glad it wasn… https://t.co/0UdpHXmRuf,1
250,@pbhushan1 will not get #vaccinated since #COVIDSecondWave is a propaganda by #NarendraModi @coolfunnytshirt .😂😂 https://t.co/Rgl8lAcI5S,1
251,I am now #vaccinated what a time to be alive,1
252,"I got my first COVID-19 shot.  Vaccinated feels good.  #CovidVaccine #vaccinated 
https://t.co/l6Q1Yviy2b",1
