,tweet
18,"Texas Gov. Abbott signs executive order to ban government-required “vaccine passports,” following a similar decisio… https://t.co/Wq8bN5DxDM"
19,NBC News wants to know your thoughts about getting the vaccine for your children when it becomes available. Take ou… https://t.co/5zyb79iHpx
20,Do you need a test to tell you if you're allergic to the Covid-19 vaccine before getting it? https://t.co/6aDb0WoBnS
21,NEW: President Biden expected to announce that states should make all adults in the US eligible for a Covid-19 vacc… https://t.co/DBA9WsKuG0
22,"RT @TODAYshow: “Vaccines will win out in the end.""

@ashishkjha, dean of Brown University's School of Public Health, joins us to talk about…"
23,"Growing conservative backlash to the idea of ""vaccine passports"" could make Republicans even less likely to get the… https://t.co/qT80NJx6Ip"
24,Do you need a test to tell you if you're allergic to the Covid-19 vaccine before getting it? https://t.co/04uGirAOts
25,"To public health expert Summer Johnson McGee, “vaccine fairies” indicate a “lack of public health infrastructure an… https://t.co/spCs61e2Vh"
26,"A volunteer army of computer-savvy Americans has stepped up to help family, friends, and even strangers book appoin… https://t.co/1XdmsVF0g3"
27,"Back when Covid-19 vaccines first started being distributed, getting an appointment was so maddeningly difficult th… https://t.co/lguIIZrhEM"
28,"U.K. PM Johnson outlines plans to lift the country further out of lockdown, introduce vaccine passports. https://t.co/9hNI5HQOrY"
29,Meet some of the 'vaccine fairies' helping vulnerable Americans book appointments. https://t.co/0wb8aQCoIi
30,British PM Johnson says everyone in England will be able to take a Covid-19 test twice a week in a new drive to tra… https://t.co/kqCCHTtVPp
31,Experts say they are beginning to see how China and Russia's strategy of selling or donating Covid-19 vaccines abro… https://t.co/YO9zNi1z3T
32,"Pope Francis urged countries in his Easter message to quicken distribution of Covid-19 vaccines, particularly to th… https://t.co/usxOhQ20UP"
33,"Pope Francis urged countries in his Easter message to quicken distribution of Covid-19 vaccines, particularly to th… https://t.co/Q47QzrBJQW"
34,Experts say they are beginning to see how China and Russia’s strategy of selling or donating Covid-19 vaccines abro… https://t.co/KejZ55L4c1
35,Pfizer says its Covid-19 vaccine is 100% effective in in teenagers aged 12 to 15. https://t.co/Ri7L3HP2AU
36,Will you get your child vaccinated when a vaccine becomes available? NBC News wants to hear from you. https://t.co/EBzv1hhrfq
37,"Florida Gov. DeSantis rolls out an executive order aimed at curtailing the use of “vaccine passports,” or documenta… https://t.co/ElcgKYdaYo"
38,RT @suekroll: NEW- Covid-19 Data Director: US again sets record for 1-day vaccine doses: over 4M in one day and avg of 3M per day last week…
39,"RT @TODAYshow: More than 100 million Americans have received at least one dose of the coronavirus vaccine, but many states are seeing a ris…"
40,"Florida Gov. DeSantis rolls out an executive order aimed at curtailing the use of “vaccine passports,” or documenta… https://t.co/6XBxo33vdP"
41,"100,000,000 people in the US have now gotten at least one dose of coronavirus vaccine, CDC says. https://t.co/gsgdtVtB26"
42,"Florida Gov. DeSantis rolls out an executive order aimed at curtailing the use of “vaccine passports,” or documenta… https://t.co/e42UHwlUxV"
43,"BREAKING: CDC now reports more than 100,000,000 people in the US have received at least one coronavirus vaccine dos… https://t.co/uJtrbEbNxG"
44,Experts say they are beginning to see how China and Russia's strategy of selling or donating Covid-19 vaccines abro… https://t.co/xn3pV6U60d
45,"A person is considered fully vaccinated two weeks after their last dose of Covid-19 vaccine.

Mitigation measures r… https://t.co/gJUi4HkHWy"
46,"In New Jersey, Covid-19 has disproportionately killed Latino men under 50. 

Apart from the economic and social fal… https://t.co/CYozyIv02W"
47,NBC News wants to know your thoughts about getting the vaccine for your children when it becomes available. Take ou… https://t.co/6MmvdZzdhx
48,"RT @TODAYshow: With COVID-19 cases rising, health officials and religious leaders are cautioning Americans against large Easter gatherings.…"
49,Experts say they are beginning to see how China and Russia's strategy of selling or donating Covid-19 vaccines abro… https://t.co/KgHjAJg656
50,Will you get your child vaccinated when a vaccine becomes available? NBC News wants to hear from you. https://t.co/TN7wzLPiRN
51,"WATCH: Dr. Fauci speaks with @LesterHoltNBC about the destroyed Johnson &amp; Johnson vaccine batch, the pace of vaccin… https://t.co/1uWyWlyBc3"
52,"Pfizer and BioNTech say trials suggest its Covid-19 vaccine works against the South African variant, and it is safe… https://t.co/VTf7Db40KH"
53,"RT @NBCNightlyNews: .@StephGosk was given exclusive access to Pfizer’s Missouri lab, the first stage of its Covid-19 vaccine production pro…"
54,"WATCH: @stephgosk is given exclusive access to Pfizer’s Missouri lab, the first stage of its Covid-19 vaccine produ… https://t.co/opHpbBR1cb"
55,"RT @NBCNewsNow: ""Though you don't have a vaccine directed specifically against the variant, you can get some pretty good protection."" - Dr.…"
56,NBC News wants to know your thoughts about getting the vaccine for your children when it becomes available. Take ou… https://t.co/mWi3dSYN7K
57,"RT @NBCNewsNow: Headlines from @SimoneBoyce &amp; @NBCNews:

• Mets-Nationals Opening Day game postponed after positive Covid tests
• Pfizer: V…"
